"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NR_146930",790,506,2442,1189,752,188,1296,476,600,1315,703,1210
"NM_001243399",68,34,106,55,68,21,108,29,22,82,63,59
"NM_016066",68,34,107,55,68,22,108,29,22,82,63,59
"NR_031691",10,2,3,5,3,0,6,3,4,13,5,3
"NM_003783",0,0,0,0,0,0,0,0,0,1,0,0
"NM_197962",76,57,109,61,100,23,116,41,24,100,110,71
"NR_039888",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001014975",0,0,0,0,0,0,0,0,0,0,0,0
"NM_021023",0,0,0,0,0,0,0,0,0,1,0,0
"NM_001166624",0,0,0,0,0,0,0,0,0,1,0,0
"NM_002113",1,0,0,1,0,0,0,0,0,0,0,0
"NM_001312672",0,0,0,0,0,0,0,0,0,0,0,0
"NM_006684",0,2,0,0,0,0,0,0,0,0,0,0
"NM_001201550",0,2,0,0,0,0,0,0,0,0,0,0
"NM_001201551",0,2,0,0,0,0,0,0,0,0,0,0
