Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_001010881,1,0,1,1,4,1,1,1,1,0,0,3,0,0,0,0
NM_005957,15,9,23,35,14,11,10,30,33,21,10,44,43,22,50,92
NM_001256959,16,10,25,35,14,11,10,30,33,21,10,48,42,22,49,95
NM_001286,12,7,23,40,17,14,13,22,30,19,5,51,40,17,43,106
NR_037806,24,14,28,64,31,16,11,20,30,19,16,82,27,16,23,37
NM_138346,14,6,20,72,22,11,15,42,19,10,9,87,29,12,42,94
NM_000302,24,8,22,30,28,12,29,44,40,26,18,56,60,37,52,64
NM_014874,13,7,15,71,43,25,46,47,22,14,7,99,57,30,43,104
NM_021933,11,6,14,32,23,9,16,34,28,18,4,57,40,25,25,81
NM_001243,32,12,34,102,72,29,59,122,32,19,19,143,103,47,102,185
NM_001066,12,7,25,95,29,15,26,69,29,21,7,100,24,14,28,158
NM_018156,9,5,9,16,6,3,13,15,9,4,4,36,11,5,17,30
NM_004753,6,1,4,0,2,2,5,3,2,1,1,15,6,4,13,7
NM_001013630,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,7
NM_001103170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NR_111984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NM_001330361,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
NM_023013,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
NM_001146344,1,1,0,8,4,2,3,2,0,0,0,1,0,0,0,6
NM_001009611,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NM_001012277,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
NR_111945,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010890,0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,1
NM_001291380,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NM_001099850,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
NM_001012276,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_001098376,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0
NM_001024661,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
NM_001099790,0,0,0,6,0,0,0,1,4,1,3,1,5,3,1,5
NM_001099852,2,0,0,2,1,0,1,5,2,1,0,7,4,0,4,1
NM_001010847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
NM_198389,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
NM_001135610,43,20,34,119,48,23,34,75,36,21,25,199,49,22,84,218
NM_015866,55,34,55,70,47,26,42,42,42,29,25,221,52,23,59,31
NM_001007257,33,13,33,210,34,20,34,129,41,21,36,215,54,24,53,222
NR_149058,5,1,4,6,1,0,0,5,2,2,1,9,0,0,0,2
NM_001370230,1,1,1,13,5,3,2,15,0,0,0,11,18,9,20,25
NR_027136,0,0,0,3,2,2,3,0,0,0,0,3,8,4,5,6
NM_001136217,0,0,0,3,2,2,3,0,0,0,0,3,8,4,5,6
NM_001278502,4,3,3,4,0,0,0,2,1,1,0,3,20,12,14,16
NM_052929,1,1,2,3,0,0,0,1,0,0,0,3,1,0,2,5
NR_148919,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NM_024329,8,4,14,24,14,8,10,29,7,4,6,58,20,11,20,51
NM_007272,5,1,6,4,6,4,10,2,3,2,3,2,5,2,8,3
NM_033440,2,1,4,0,0,0,0,0,0,0,0,4,4,2,5,2
NM_015849,4,3,6,9,2,1,5,4,2,1,1,19,5,4,8,7
NM_032996,4,2,0,12,0,0,0,6,7,5,1,9,3,3,7,9
NM_001287811,13,9,10,25,17,9,16,31,13,6,8,32,34,20,35,32
NM_024758,44,24,32,74,28,14,11,54,33,19,23,186,37,22,38,179
NM_032341,20,7,19,95,37,19,20,69,34,21,35,103,76,42,63,121
NM_015164,15,9,22,71,24,17,13,47,12,8,10,67,36,22,50,69
NM_207348,61,22,56,175,74,40,59,96,63,35,33,185,85,47,73,239
NR_149050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
NM_001013641,3,2,1,7,3,1,5,4,2,2,1,7,4,1,3,26
NM_001350151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
NM_001024215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
NR_024279,28,17,36,97,32,18,30,59,14,9,7,128,43,22,50,187
NM_015001,19,14,22,47,31,15,26,47,23,12,10,74,35,21,36,122
NM_001287604,9,3,10,20,17,5,19,27,15,9,11,41,31,18,32,43
NM_178840,0,0,0,9,1,0,2,1,0,0,0,6,2,0,2,3
NM_001349682,1,0,0,29,4,2,1,6,2,0,4,94,16,4,10,23
NM_001042704,11,5,9,62,6,3,8,17,17,9,5,68,49,22,22,51
NM_000085,0,0,0,4,0,0,0,2,0,0,0,2,1,0,2,2
NM_182623,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,5
NM_001329090,1,1,0,1,0,0,1,1,0,0,0,4,3,2,4,4
NM_153213,1,1,0,18,0,0,0,3,4,2,2,4,6,4,6,9
NM_030907,19,7,36,72,43,24,22,63,44,27,28,103,101,60,95,102
NM_018994,51,25,54,105,58,30,36,139,53,34,41,158,86,40,113,150
NM_001271869,52,28,47,149,54,28,41,108,19,15,10,184,96,51,95,246
NR_148413,1,1,2,1,3,3,2,1,2,2,1,8,2,0,1,9
NM_001145278,20,12,27,34,40,20,24,48,17,11,9,65,46,26,35,47
NM_018090,18,11,28,35,41,20,26,52,16,10,9,70,47,27,36,48
NR_147210,100,51,103,224,104,56,83,223,89,47,78,374,171,88,175,220
NR_023386,18,10,18,49,17,8,11,25,9,6,4,32,17,10,16,28
NM_017940,36,16,30,145,38,21,34,48,37,17,12,152,45,25,45,120
NR_026752,55,27,73,187,49,26,29,73,60,28,33,270,79,38,89,201
NR_027504,99,61,100,172,79,44,66,83,109,74,64,375,144,72,129,248
NR_026567,1,1,0,2,0,0,1,0,0,0,0,3,0,0,0,2
NM_001271733,0,0,0,3,0,0,0,0,0,0,0,10,0,0,2,5
NM_014675,1,1,2,1,0,0,0,1,0,0,0,8,4,1,6,3
NM_001135247,0,0,0,2,0,0,0,1,0,0,0,8,4,2,1,6
NM_022089,0,0,3,16,2,1,0,20,0,0,2,27,10,5,18,22
NM_003000,18,12,14,27,25,12,12,55,11,6,7,33,47,25,45,43
NM_007365,0,0,1,3,0,0,0,0,3,1,0,1,5,2,5,3
NR_148993,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,3
NR_137288,1,0,3,4,0,0,0,1,0,0,3,7,2,1,6,21
NM_001011722,3,3,1,2,3,0,1,0,0,0,0,0,0,0,0,3
NM_030812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NR_125946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152375,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
NM_013945,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0
NM_152232,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
NM_001319218,39,13,43,99,88,46,54,62,33,23,18,132,41,21,24,154
NM_001136265,15,8,11,38,8,6,9,18,5,1,2,19,12,6,19,60
NM_020765,61,33,67,149,80,41,57,136,60,38,31,187,96,58,102,275
NR_135115,73,36,77,182,76,39,58,156,90,57,42,221,111,65,107,260
NM_015047,26,11,29,77,41,25,35,72,27,15,23,114,51,25,41,80
NM_016183,44,22,47,94,74,42,40,96,37,20,25,175,76,35,55,117
NM_001348421,6,3,5,10,2,1,2,1,14,9,10,22,4,1,3,10
NM_012067,0,0,6,19,9,6,7,12,4,4,1,26,3,1,7,17
NM_001320979,12,4,7,41,16,9,10,29,15,7,7,59,7,3,8,38
NM_001040125,11,5,13,70,32,19,15,34,22,7,9,77,15,6,19,94
NM_001206541,16,9,15,50,17,10,13,38,19,11,14,85,26,16,39,68
NR_135054,58,28,67,119,57,35,73,189,70,37,35,169,76,37,71,185
NM_001204082,62,29,70,188,86,52,87,270,74,39,36,251,90,43,92,302
NM_001032363,62,29,70,187,86,52,87,270,74,39,36,251,90,43,92,302
NM_001278164,1,0,3,9,0,0,3,5,0,0,1,5,4,1,7,4
NM_000871,1,1,3,5,0,0,0,2,0,0,0,0,0,0,1,5
NM_001349114,52,25,36,111,17,8,28,66,48,29,24,199,54,30,44,179
NM_001349115,41,18,40,81,39,19,31,58,54,28,22,274,70,40,73,194
NM_015207,9,4,9,27,16,7,12,28,10,8,6,27,10,5,8,48
NM_014589,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
NM_001161729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000929,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_012400,1,0,1,6,0,0,0,1,0,0,0,0,5,4,4,10
NM_001271814,1,0,1,6,0,0,0,1,0,0,0,0,5,4,4,10
NM_001360869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
NM_001367969,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0
NM_152376,1,0,0,4,5,3,3,5,0,0,3,11,1,1,2,24
NM_001039500,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,4
NR_033887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_018584,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
NM_024544,36,15,42,57,27,15,12,44,31,16,10,68,29,17,34,78
NM_001785,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
NM_032409,4,1,4,10,4,1,1,3,0,0,0,7,5,3,4,4
NR_046507,55,25,78,126,38,23,29,39,67,37,43,286,73,30,62,101
NM_005216,36,19,50,60,30,17,31,77,49,30,20,95,72,42,56,108
NM_001122819,1,1,0,1,0,0,0,0,0,0,0,9,3,1,2,2
NM_001103160,24,9,24,89,70,41,32,65,32,18,20,135,40,23,53,126
NM_016287,36,15,37,185,49,20,42,119,46,29,45,301,43,24,63,285
NM_001198801,14,6,22,26,16,6,11,28,9,6,2,28,24,13,26,28
NM_001198803,42,12,53,93,36,25,39,55,41,26,23,78,35,23,38,61
NM_001113348,5,1,12,26,10,7,8,22,16,11,3,43,6,4,3,74
NR_038404,17,11,34,87,64,30,37,40,19,12,9,85,26,11,38,135
NR_046176,7,6,2,34,4,3,5,6,1,1,0,22,4,2,4,12
NM_001369805,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,3
NM_001350528,36,17,24,100,53,30,32,50,24,15,7,132,39,26,47,132
NM_001350168,67,28,65,178,94,55,79,166,55,26,19,210,133,75,144,244
NM_001330394,63,26,60,176,94,55,73,169,63,30,21,211,141,81,129,241
NM_001013693,0,0,0,2,4,3,1,0,0,0,0,2,6,2,2,3
NM_005529,2,1,0,6,1,1,0,4,6,2,7,5,11,3,8,9
NM_007352,0,0,0,0,2,2,0,1,2,1,1,1,0,0,0,0
NM_005747,0,0,0,3,5,3,0,1,2,1,1,2,0,0,0,1
NR_023918,115,68,134,249,149,79,102,180,107,74,68,298,214,96,188,471
NM_044472,15,8,20,90,30,17,8,64,22,14,16,177,49,31,57,134
NM_030761,0,0,0,6,0,0,3,5,0,0,2,0,0,0,2,4
NM_014870,15,10,21,31,23,13,12,21,21,14,6,73,32,12,42,68
NM_001006943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001347465,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NM_001347620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_000491,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_017449,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NM_001289974,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,4
NM_001242521,0,0,0,3,2,1,1,0,1,1,0,11,0,0,0,5
NM_015013,29,17,40,63,41,18,28,37,39,29,22,63,78,41,66,68
NM_001142546,33,20,36,93,45,29,40,70,6,2,5,47,75,42,92,112
NM_033631,33,20,36,93,45,29,40,70,6,2,5,47,75,42,92,112
NR_110616,30,14,45,143,69,37,53,56,54,33,33,264,59,34,51,109
